lemma,definition,lila_id,synset_id,sem_type,lexemes_pt,own_pt_gloss,argumentSet
audio,"get to know or become aware of, usually accidentally",lilaLemma:90641,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00598954-v"" target=""_blank"">00598954-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, descobrir, informar-se, inteirar<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
cognosco,"get to know or become aware of, usually accidentally",lilaLemma:94738,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00598954-v"" target=""_blank"">00598954-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, descobrir, informar-se, inteirar<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
uideo,"get to know or become aware of, usually accidentally",lilaLemma:130163,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00598954-v"" target=""_blank"">00598954-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, descobrir, informar-se, inteirar<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
credo,"expect, believe, or suppose",lilaLemma:96881,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00631737-v"" target=""_blank"">00631737-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, esperar, pensar, supor<br>","<small><small>conceito:</small>&ensp;imaginar, acreditar, ou supor</small><br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,EFF] ou [ACT] ou [ACT,EFF,PAT]</small></small><br>"
facio,"expect, believe, or suppose",lilaLemma:102758,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00631737-v"" target=""_blank"">00631737-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, esperar, pensar, supor<br>","<small><small>conceito:</small>&ensp;imaginar, acreditar, ou supor</small><br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,EFF] ou [ACT] ou [ACT,EFF,PAT]</small></small><br>"
puto,"expect, believe, or suppose",lilaLemma:120610,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00631737-v"" target=""_blank"">00631737-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, esperar, pensar, supor<br>","<small><small>conceito:</small>&ensp;imaginar, acreditar, ou supor</small><br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,EFF] ou [ACT] ou [ACT,EFF,PAT]</small></small><br>"
pono,"determine or indicate the place, site, or limits of, as if by an instrument or by a survey",lilaLemma:118414,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02694933-v"" target=""_blank"">02694933-v</a></small></small><br>",<small><small>categoria:&ensp;estado</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, localizar, situar<br>",,"<small><small>valências:&ensp;[ACT,PAT,LOC]</small></small><br>"
credo,judge or regard; look upon; judge,lilaLemma:96881,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00689344-v"" target=""_blank"">00689344-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, pensar<br>",<small><small>conceito:</small>&ensp;julgar ou reparar; considerar</small><br>,"<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT] ou [ACT,PAT,EFF] ou [ACT,REG]</small></small><br>"
fero,judge or regard; look upon; judge,lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00689344-v"" target=""_blank"">00689344-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, pensar<br>",<small><small>conceito:</small>&ensp;julgar ou reparar; considerar</small><br>,"<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT] ou [ACT,PAT,EFF] ou [ACT,REG]</small></small><br>"
puto,judge or regard; look upon; judge,lilaLemma:120610,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00689344-v"" target=""_blank"">00689344-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, pensar<br>",<small><small>conceito:</small>&ensp;julgar ou reparar; considerar</small><br>,"<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT] ou [ACT,PAT,EFF] ou [ACT,REG]</small></small><br>"
fero,bid welcome to; greet upon arrival,lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00900583-v"" target=""_blank"">00900583-v</a></small></small><br>",<small><small>categoria:&ensp;comunicação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acolher, receber, recepcionar<br>",<small><small>conceito:</small>&ensp;cumprimentar à chegada</small><br>,"<small><small>valências:&ensp;[ACT,LOC,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT]</small></small><br>"
teneo,have room for; hold without crowding,lilaLemma:127822,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02732798-v"" target=""_blank"">02732798-v</a></small></small><br>",<small><small>categoria:&ensp;estado</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acomodar, conter<br>",<small><small>conceito:</small>&ensp;ter espaço para; conter sem apinhamento</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
sequor,accompany or escort,lilaLemma:124461,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02026086-v"" target=""_blank"">02026086-v</a></small></small><br>",<small><small>categoria:&ensp;movimento</small></small><br>,<small><small>lexemas:</small></small>&ensp;acompanhar<br>,,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR3,PAT] ou [ACT,PAT,DIR3]</small></small><br>"
sequor,go or travel along with,lilaLemma:124461,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02025550-v"" target=""_blank"">02025550-v</a></small></small><br>",<small><small>categoria:&ensp;movimento</small></small><br>,<small><small>lexemas:</small></small>&ensp;acompanhar<br>,,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR3,PAT]</small></small><br>"
sequor,perform an accompaniment to,lilaLemma:124461,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01728355-v"" target=""_blank"">01728355-v</a></small></small><br>",<small><small>categoria:&ensp;criação</small></small><br>,<small><small>lexemas:</small></small>&ensp;acompanhar<br>,,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,ADDR]</small></small><br>"
sequor,be present or associated with an event or entity,lilaLemma:124461,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02716165-v"" target=""_blank"">02716165-v</a></small></small><br>",<small><small>categoria:&ensp;estado</small></small><br>,<small><small>lexemas:</small></small>&ensp;acompanhar<br>,<small><small>conceito:</small>&ensp;estar presente ou ser associado com um evento ou uma entidade</small><br>,"<small><small>valências:&ensp;[ACMP,ACT] ou [ACT,PAT]</small></small><br>"
sequor,be a companion to somebody,lilaLemma:124461,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02716767-v"" target=""_blank"">02716767-v</a></small></small><br>",<small><small>categoria:&ensp;estado</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acompanhar, fazer companhia<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
consilium,something that provides direction or advice as to a decision or course of action,lilaLemma:96060,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=06650701-n"" target=""_blank"">06650701-n</a></small></small><br>",<small><small>categoria:&ensp;comunicação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;aconselhamento, conselho, direção<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
fero,"make a proposal, declare a plan for something",lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00875394-v"" target=""_blank"">00875394-v</a></small></small><br>",<small><small>categoria:&ensp;comunicação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;aconselhar, propor, sugerir<br>","<small><small>conceito:</small>&ensp;fazer uma proposta, declarar um projeto para alguma coisa</small><br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
fio,"chance to be or do something, without intention or causation",lilaLemma:103328,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02593912-v"" target=""_blank"">02593912-v</a></small></small><br>",<small><small>categoria:&ensp;relação social</small></small><br>,<small><small>lexemas:</small></small>&ensp;acontecer<br>,"<small><small>conceito:</small>&ensp;chance de ser ou fazer algo, sem intenção ou nexo de causalidade</small><br>","<small><small>valências:&ensp;[ACT,ADDR] ou [ACT,PAT]</small></small><br>"
sum,"happen, occur, or be the case in the course of events or by chance",lilaLemma:126689,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00344643-v"" target=""_blank"">00344643-v</a></small></small><br>",<small><small>categoria:&ensp;mudança</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acontecer, calhar, ocorrer, suceder<br>","<small><small>conceito:</small>&ensp;acontecer, ocorrer, ou ser o caso no curso dos acontecimentos ou por acaso</small><br>","<small><small>valências:&ensp;[ACT,ADDR] ou [ACT,BEN] ou [ACT,PAT] ou [ACT]</small></small><br>"
fio,"happen, occur, or be the case in the course of events or by chance",lilaLemma:103328,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00344643-v"" target=""_blank"">00344643-v</a></small></small><br>",<small><small>categoria:&ensp;mudança</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acontecer, calhar, ocorrer, suceder<br>","<small><small>conceito:</small>&ensp;acontecer, ocorrer, ou ser o caso no curso dos acontecimentos ou por acaso</small><br>","<small><small>valências:&ensp;[ACT,ADDR] ou [ACT,BEN] ou [ACT,PAT] ou [ACT]</small></small><br>"
fio,come to pass,lilaLemma:103328,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00339934-v"" target=""_blank"">00339934-v</a></small></small><br>",<small><small>categoria:&ensp;mudança</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acontecer, ocorrer, passar, suceder<br>",<small><small>conceito:</small>&ensp;chegar a acorrer</small><br>,"<small><small>valências:&ensp;[ACT,ADDR] ou [ACT,TOWH] ou [ACT,PAT] ou [ACT] ou [ACT,PAT,DIR1,DIR3]</small></small><br>"
fio,undergo a change or development,lilaLemma:103328,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02626604-v"" target=""_blank"">02626604-v</a></small></small><br>",<small><small>categoria:&ensp;estado</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acontecer, tornar-se, transformar, transformar-se, virar<br>",,"<small><small>valências:&ensp;[ACT,EFF] ou [ACT,PAT,DIR1,DIR3] ou [ACT,PAT]</small></small><br>"
uenio,"come to pass; arrive, as in due course",lilaLemma:129790,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00341917-v"" target=""_blank"">00341917-v</a></small></small><br>",<small><small>categoria:&ensp;mudança</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acontecer, vir<br>","<small><small>conceito:</small>&ensp;vir a passar; chegar, como na altura devida</small><br>","<small><small>valências:&ensp;[ACT,TOWH] ou [ACT] ou [ACT,DIR1,DIR3]</small></small><br>"
