lemma,lila_id,label,upostag,lila_uri,upostag_pt,fl_cat_pt,gen_pt,number_pt,grade_pt,wrList,var_key,ipo_desc,ipo_lemmaKey,dcc_semGrp,dcc_freqRank,LogeionURL
rideo,lilaLemma:122833,rideo,VERB,http://lila-erc.eu/data/id/lemma/122833,verbo,2ª conjugação (tema em -e-),,,,,,,,Emoções,874,https://logeion.uchicago.edu/rideo
rogo,lilaLemma:122853,rogo,VERB,http://lila-erc.eu/data/id/lemma/122853,verbo,1ª conjugação (tema em -a-),,,,,,,,"Discurso, Oratória",551,https://logeion.uchicago.edu/rogo
rumpo,lilaLemma:122881,rumpo,VERB,http://lila-erc.eu/data/id/lemma/122881,verbo,3ª conjugação (sem vogal temática),,,,,,,,Violência,480,https://logeion.uchicago.edu/rumpo
sacer,lilaLemma:123063,sacer,ADJ,http://lila-erc.eu/data/id/lemma/123063,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Religião,398,https://logeion.uchicago.edu/sacer
sacerdos,lilaLemma:123066,sacerdos,NOUN,http://lila-erc.eu/data/id/lemma/123066,substantivo,3ª declinação (sem vogal temática),comum de dois gêneros,,,,,,,Religião,939,https://logeion.uchicago.edu/sacerdos
saeculum,lilaLemma:123105,saeculum,NOUN,http://lila-erc.eu/data/id/lemma/123105,substantivo,2ª declinação (tema em -o-),neutro,,,"saeclom, saeclum, saeculom, seclom, seclum, seculom, seculum",,,,Durações de tempo,776,https://logeion.uchicago.edu/saeculum
saepe,lilaLemma:123106,saepe,ADV,http://lila-erc.eu/data/id/lemma/123106,advérbio,indeclinável,,,,"saepisume, saepius",,,,Tempo,145,https://logeion.uchicago.edu/saepe
saeuus,lilaLemma:123131,saeuus,ADJ,http://lila-erc.eu/data/id/lemma/123131,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Características pessoais,244,https://logeion.uchicago.edu/saeuus
salus,lilaLemma:123276,salus,NOUN,http://lila-erc.eu/data/id/lemma/123276,substantivo,3ª declinação (sem vogal temática),feminino,,,,,,,Vida e Existência,549,https://logeion.uchicago.edu/salus
sancio,lilaLemma:123312,sancio,VERB,http://lila-erc.eu/data/id/lemma/123312,verbo,4ª conjugação (tema em -ī- longo),,,,,,,,,,https://logeion.uchicago.edu/sancio
sapientia,lilaLemma:123349,sapientia,NOUN,http://lila-erc.eu/data/id/lemma/123349,substantivo,1ª declinação (tema em -a-),feminino,,,,,,,"Educação, Conhecimento",797,https://logeion.uchicago.edu/sapientia
sanguis,lilaLemma:123363,sanguis,NOUN,http://lila-erc.eu/data/id/lemma/123363,substantivo,3ª declinação (tema em -i-),masculino,,,sanguen,,,,Corpo,214,https://logeion.uchicago.edu/sanguis
sanus,lilaLemma:123378,sanus,ADJ,http://lila-erc.eu/data/id/lemma/123378,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Vida e Existência,946,https://logeion.uchicago.edu/sanus
sapio,lilaLemma:123386,sapio,VERB,http://lila-erc.eu/data/id/lemma/123386,verbo,5ª conjugação (tema em -ĭ- breve),,,,,,,,,,https://logeion.uchicago.edu/sapio
satis,lilaLemma:123480,satis,ADV,http://lila-erc.eu/data/id/lemma/123480,advérbio,indeclinável,,,,"sat, satin, satius",,,,Medidas,341,https://logeion.uchicago.edu/satis
saxum,lilaLemma:123551,saxum,NOUN,http://lila-erc.eu/data/id/lemma/123551,substantivo,2ª declinação (tema em -o-),neutro,,,"saxom, saxsum",,,,Terra e Água,306,https://logeion.uchicago.edu/saxum
scelus,lilaLemma:123667,scelus,NOUN,http://lila-erc.eu/data/id/lemma/123667,substantivo,3ª declinação (sem vogal temática),neutro,,,,,,,Justiça,154,https://logeion.uchicago.edu/scelus
scilicet,lilaLemma:123717,scilicet,ADV,http://lila-erc.eu/data/id/lemma/123717,advérbio,indeclinável,,,,,,,,,889,https://logeion.uchicago.edu/scilicet
scio,lilaLemma:123732,scio,VERB,http://lila-erc.eu/data/id/lemma/123732,verbo,4ª conjugação (tema em -ī- longo),,,,,,,,"Educação, Conhecimento",172,https://logeion.uchicago.edu/scio
scribo,lilaLemma:123840,scribo,VERB,http://lila-erc.eu/data/id/lemma/123840,verbo,3ª conjugação (sem vogal temática),,,,,,,,Cultura literária,568,https://logeion.uchicago.edu/scribo
securus,lilaLemma:123986,securus,ADJ,http://lila-erc.eu/data/id/lemma/123986,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Características pessoais,697,https://logeion.uchicago.edu/securus
sed,lilaLemma:123994,sed,CCONJ,http://lila-erc.eu/data/id/lemma/123994,conjunção coordenativa,indeclinável,,,,"sedum, set",,,,,20,https://logeion.uchicago.edu/sed
sedeo,lilaLemma:124004,sedeo,VERB,http://lila-erc.eu/data/id/lemma/124004,verbo,2ª conjugação (tema em -e-),,,,,,,,Casa,506,https://logeion.uchicago.edu/sedeo
sedes,lilaLemma:124005,sedes,NOUN,http://lila-erc.eu/data/id/lemma/124005,substantivo,3ª declinação (sem vogal temática),feminino,,,sedis,,,,Casa,403,https://logeion.uchicago.edu/sedes
semel,lilaLemma:124090,semel,ADV,http://lila-erc.eu/data/id/lemma/124090,advérbio,indeclinável,,,,,,,,Tempo,789,https://logeion.uchicago.edu/semel
semper,lilaLemma:124294,semper,ADV,http://lila-erc.eu/data/id/lemma/124294,advérbio,indeclinável,,,,semperum,,,,Tempo,149,https://logeion.uchicago.edu/semper
senatus,lilaLemma:124309,senatus,NOUN,http://lila-erc.eu/data/id/lemma/124309,substantivo,4ª declinação (tema em -u-),masculino,,,,,,,Cidade,329,https://logeion.uchicago.edu/senatus
sententia,lilaLemma:124342,sententia,NOUN,http://lila-erc.eu/data/id/lemma/124342,substantivo,1ª declinação (tema em -a-),feminino,,,,,,,"Educação, Conhecimento",586,https://logeion.uchicago.edu/sententia
sentio,lilaLemma:124353,sentio,VERB,http://lila-erc.eu/data/id/lemma/124353,verbo,4ª conjugação (tema em -ī- longo),,,,,,,,,302,https://logeion.uchicago.edu/sentio
sensus,lilaLemma:124355,sensus,NOUN,http://lila-erc.eu/data/id/lemma/124355,substantivo,4ª declinação (tema em -u-),masculino,,,,,,,Emoções,793,https://logeion.uchicago.edu/sensus
sepulcrum,lilaLemma:124443,sepulcrum,NOUN,http://lila-erc.eu/data/id/lemma/124443,substantivo,2ª declinação (tema em -o-),neutro,,,"sephulcrom, sephulcrum, sepulchrom, sepulchrum, sepulcrom",,,,Vida e Existência,949,https://logeion.uchicago.edu/sepulcrum
sequor,lilaLemma:124461,sequor,VERB,http://lila-erc.eu/data/id/lemma/124461,verbo,3ª conjugação depoente (sem vogal temática),,,,secor,,,,Movimento,108,https://logeion.uchicago.edu/sequor
sermo,lilaLemma:124494,sermo,NOUN,http://lila-erc.eu/data/id/lemma/124494,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,"Discurso, Oratória",575,https://logeion.uchicago.edu/sermo
seruio,lilaLemma:124541,seruio,VERB,http://lila-erc.eu/data/id/lemma/124541,verbo,4ª conjugação (tema em -ī- longo),,,,,,,,Família,883,https://logeion.uchicago.edu/seruio
seruo,lilaLemma:124551,seruo,VERB,http://lila-erc.eu/data/id/lemma/124551,verbo,1ª conjugação (tema em -a-),,,,,,,,Família,289,https://logeion.uchicago.edu/seruo
sto,lilaLemma:124554,sto,VERB,http://lila-erc.eu/data/id/lemma/124554,verbo,1ª conjugação (tema em -a-),,,,isto,,,,Vida e Existência,168,https://logeion.uchicago.edu/sto
seruus,lilaLemma:124560,seruus,NOUN,http://lila-erc.eu/data/id/lemma/124560,substantivo,2ª declinação (tema em -o-),masculino,,,seruos,,,,Família,496,https://logeion.uchicago.edu/seruus
si,lilaLemma:124676,si,SCONJ,http://lila-erc.eu/data/id/lemma/124676,conjunção subordinativa,indeclinável,,,,"sei, sein, sin",,,,,16,https://logeion.uchicago.edu/si
sic,lilaLemma:124690,sic,ADV,http://lila-erc.eu/data/id/lemma/124690,advérbio,indeclinável,,,,"seic, siccine, sicin, sicine",,,,,79,https://logeion.uchicago.edu/sic
sidus,lilaLemma:124736,sidus,NOUN,http://lila-erc.eu/data/id/lemma/124736,substantivo,3ª declinação (sem vogal temática),neutro,,,sydus,,,,Ar e Fogo,359,https://logeion.uchicago.edu/sidus
signum,lilaLemma:124767,signum,NOUN,http://lila-erc.eu/data/id/lemma/124767,substantivo,2ª declinação (tema em -o-),neutro,,,signom,,,,Guerra e Paz,261,https://logeion.uchicago.edu/signum
silua,lilaLemma:124801,silua,NOUN,http://lila-erc.eu/data/id/lemma/124801,substantivo,1ª declinação (tema em -a-),feminino,,,sylua,,,,Plantas e Animais,234,https://logeion.uchicago.edu/silua
similis,lilaLemma:124826,similis,ADJ,http://lila-erc.eu/data/id/lemma/124826,adjetivo,2ª classe (tema em -i-),,,,simil,,,,Características pessoais,414,https://logeion.uchicago.edu/similis
simul,lilaLemma:124857,simul,ADV,http://lila-erc.eu/data/id/lemma/124857,advérbio,indeclinável,,,,"semol, semul",,,,Tempo,274,https://logeion.uchicago.edu/simul
sine,lilaLemma:124883,sine,ADP,http://lila-erc.eu/data/id/lemma/124883,preposição,indeclinável,,,,"se, sed, seine, sene",,,,,104,https://logeion.uchicago.edu/sine
sino,lilaLemma:124907,sino,VERB,http://lila-erc.eu/data/id/lemma/124907,verbo,3ª conjugação (sem vogal temática),,,,,,,,Verbo diretivo ou promissivo,717,https://logeion.uchicago.edu/sino
sinus,lilaLemma:124917,sinus,NOUN,http://lila-erc.eu/data/id/lemma/124917,substantivo,4ª declinação (tema em -u-),masculino,,,,,,,Terra e Água,478,https://logeion.uchicago.edu/sinus
siue,lilaLemma:124968,siue,SCONJ,http://lila-erc.eu/data/id/lemma/124968,conjunção subordinativa,indeclinável,,,,"seiue, seu",,,,,343,https://logeion.uchicago.edu/siue
socius2,lilaLemma:124999,socius,ADJ,http://lila-erc.eu/data/id/lemma/124999,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Sociedade,372,https://logeion.uchicago.edu/socius
socius,lilaLemma:125001,socius,NOUN,http://lila-erc.eu/data/id/lemma/125001,substantivo,2ª declinação (tema em -o-),masculino,,,,,,,Sociedade,372,https://logeion.uchicago.edu/socius
sol,lilaLemma:125027,sol,NOUN,http://lila-erc.eu/data/id/lemma/125027,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Ar e Fogo,320,https://logeion.uchicago.edu/sol
soleo,lilaLemma:125051,soleo,VERB,http://lila-erc.eu/data/id/lemma/125051,verbo,2ª conjugação (tema em -e-),,,,,,,,Características pessoais,246,https://logeion.uchicago.edu/soleo
soluo,lilaLemma:125108,soluo,VERB,http://lila-erc.eu/data/id/lemma/125108,verbo,3ª conjugação (sem vogal temática),,,,,,,,Viagem,325,https://logeion.uchicago.edu/soluo
solus,lilaLemma:125109,solus,DET,http://lila-erc.eu/data/id/lemma/125109,determinante,1ª classe (tema em -a/o-),,,,,,,,Medidas,176,https://logeion.uchicago.edu/solus
somnus,lilaLemma:125130,somnus,NOUN,http://lila-erc.eu/data/id/lemma/125130,substantivo,2ª declinação (tema em -o-),masculino,,,,,,,Vida e Existência,438,https://logeion.uchicago.edu/somnus
sono,lilaLemma:125138,sono,VERB,http://lila-erc.eu/data/id/lemma/125138,verbo,1ª conjugação (tema em -a-),,,,,,,,,583,https://logeion.uchicago.edu/sono
soror,lilaLemma:125195,soror,NOUN,http://lila-erc.eu/data/id/lemma/125195,substantivo,3ª declinação (sem vogal temática),feminino,,,seror,,,,Família,497,https://logeion.uchicago.edu/soror
sors,lilaLemma:125204,sors,NOUN,http://lila-erc.eu/data/id/lemma/125204,substantivo,3ª declinação (sem vogal temática),feminino,,,sortis,,,,Religião,639,https://logeion.uchicago.edu/sors
spargo,lilaLemma:125240,spargo,VERB,http://lila-erc.eu/data/id/lemma/125240,verbo,3ª conjugação (sem vogal temática),,,,spergo,,,,Terra e Água,532,https://logeion.uchicago.edu/spargo
spatium,lilaLemma:125271,spatium,NOUN,http://lila-erc.eu/data/id/lemma/125271,substantivo,2ª declinação (tema em -o-),neutro,,,"spacium, spathiom, spathium, spatiom",,,,Ar e Fogo,426,https://logeion.uchicago.edu/spatium
species,lilaLemma:125279,species,NOUN,http://lila-erc.eu/data/id/lemma/125279,substantivo,5ª declinação (tema em -e-),feminino,,,,,,,Visão,599,https://logeion.uchicago.edu/species
specto,lilaLemma:125299,specto,VERB,http://lila-erc.eu/data/id/lemma/125299,verbo,1ª conjugação (tema em -a-),,,,specito,,,,Visão,473,https://logeion.uchicago.edu/specto
spero,lilaLemma:125334,spero,VERB,http://lila-erc.eu/data/id/lemma/125334,verbo,1ª conjugação (tema em -a-),,,,,,,,Emoções,648,https://logeion.uchicago.edu/spero
spes,lilaLemma:125336,spes,NOUN,http://lila-erc.eu/data/id/lemma/125336,substantivo,5ª declinação (tema em -e-),feminino,,,,,,,Emoções,232,https://logeion.uchicago.edu/spes
spiritus,lilaLemma:125406,spiritus,NOUN,http://lila-erc.eu/data/id/lemma/125406,substantivo,4ª declinação (tema em -u-),masculino,,,,,,,Vida e Existência,703,https://logeion.uchicago.edu/spiritus
statim,lilaLemma:125596,statim,ADV,http://lila-erc.eu/data/id/lemma/125596,advérbio,indeclinável,,,,,,,,Tempo,798,https://logeion.uchicago.edu/statim
statuo,lilaLemma:125614,statuo,VERB,http://lila-erc.eu/data/id/lemma/125614,verbo,3ª conjugação (sem vogal temática),,,,,,,,Justiça,678,https://logeion.uchicago.edu/statuo
stella,lilaLemma:125625,stella,NOUN,http://lila-erc.eu/data/id/lemma/125625,substantivo,1ª declinação (tema em -a-),feminino,,,,,,,Ar e Fogo,934,https://logeion.uchicago.edu/stella
studeo,lilaLemma:125886,studeo,VERB,http://lila-erc.eu/data/id/lemma/125886,verbo,2ª conjugação (tema em -e-),,,,,,,,Emoções,989,https://logeion.uchicago.edu/studeo
studium,lilaLemma:125889,studium,NOUN,http://lila-erc.eu/data/id/lemma/125889,substantivo,2ª declinação (tema em -o-),neutro,,,studiom,,,,Emoções,450,https://logeion.uchicago.edu/studium
sub,lilaLemma:125956,sub,ADP,http://lila-erc.eu/data/id/lemma/125956,preposição,indeclinável,,,,sup,,,,Lugar,118,https://logeion.uchicago.edu/sub
subeo,lilaLemma:126085,subeo,VERB,http://lila-erc.eu/data/id/lemma/126085,verbo,irregular,,,,,,,,Movimento,538,https://logeion.uchicago.edu/subeo
surgo,lilaLemma:126307,surgo,VERB,http://lila-erc.eu/data/id/lemma/126307,verbo,3ª conjugação (sem vogal temática),,,,"subrigo, surrigo",,,,Terra e Água,570,https://logeion.uchicago.edu/surgo
sum,lilaLemma:126689,sum,VERB,http://lila-erc.eu/data/id/lemma/126689,verbo,irregular,,,,esum,,,,Vida e Existência,2,https://logeion.uchicago.edu/sum
sumo,lilaLemma:126707,sumo,VERB,http://lila-erc.eu/data/id/lemma/126707,verbo,3ª conjugação (sem vogal temática),,,,,,,,Movimento,454,https://logeion.uchicago.edu/sumo
