lemma,prefix,fullEntry
cyprus,Fonseca,<b>Cyprus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>f.</small>
cypselus,Fonseca,<b>Cypsellus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>m.</small>
damma,Fonseca,<b>Dama</b> -<b>ae</b> <br> <small>m.</small>
damnatus,Fonseca,<b>Damnatus</b> -<b>a</b> -<b>um</b> -<b>tior</b> <br> <small>Cic. part. de Damno.</small>
de,Fonseca,"<b>De</b> <br> <small>prep. de ablat.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; de, da, das, do, dos, ácerca, conforme, depois. </p>"
debeo,Fonseca,"<b>Debeo</b> -<b>es</b> -<b>ui</b> -<b>itum</b> -<b>ere</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; dever, ser devedor, estar obrigado. </p>"
deciduus,Fonseca,<b>Deciduus</b> -<b>a</b> -<b>um</b>
decussus,Fonseca,<b>Decussus</b> -<b>a</b> -<b>um</b> <br> <small>Liv. part. de Decutio</small>
dedicatus,Fonseca,<b>Dedicatus</b> -<b>a</b> -<b>um</b> <br> <small>Cic. part. de Dedico</small>
deinde,Fonseca,<b>Dein</b> <br> <small>adv.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; depois. </p>
deinde,Fonseca,"<b>Deinde</b> <br> <small>adv.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; depois disto. <br> <b>2</b> &ensp; <small>Curt.</small> &ensp; dahi, desse lugar para diante. </p>"
demptus,Fonseca,<b>Demtus</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b> <br> <small>Cic. part. de Demo.</small>
deorsum,Fonseca,<b>Deorsus</b> <br> <small>adv.</small>
deprehensus,Fonseca,<b>Deprensus</b> -<b>a</b> -<b>um</b> <br> <small>Virg. part. de Deprehendo.</small>
depromptus,Fonseca,<b>Depromtus</b> -<b>a</b> -<b>um</b>
deus,Fonseca,"<b>Deus</b> -<b>ei</b> <br> <small>m.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; deos. &ensp; <small>Os Poetas Latinos á imitação dos Gregos denominão Dei tanto os machos, como as femeas. Toma-se tambem por tudo que he excellente, v. gr. Plato Philosophorum Deus. Cic. Platão o mais admiravel entre os Filosofos.</small> </p>"
dextera,Fonseca,<b>Dextra</b> -<b>ae</b> <br> <small>f.</small>
dextrorsum,Fonseca,<b>Dextrosus</b> <br> <small>adv.</small>
dextrorsum,Fonseca,<b>Dextroversum</b>
dialecticus,Fonseca,<b>Dialecticus</b> -<b>i</b> <br> <small>m.</small>
dico,Fonseca,"<b>Dico</b> -<b>is</b> -<b>ixi</b> -<b>ictum</b> -<b>cere</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; dizer, fallar. <br> <b>2</b> &ensp; <small>Liv.</small> &ensp; eleger. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>dicere diem alicui &ensp; <small><small>Cic</small></small> &ensp; <small>Assinar dia para apparecer em juizo</small> <br> dicere salutem &ensp; <small><small>Cic</small></small> &ensp; <small>Saudar, enviar saude</small> </p>"
