lemma,lila_id,wr,phon
ego,lilaLemma:100712,mihimet,mĭhimĕt
ego,lilaLemma:100712,memet,mēmĕt
enim,lilaLemma:101119,enim,ĕnim
enim,lilaLemma:101119,enim,ĕnim
eo,lilaLemma:101183,eo,ĕō
eo,lilaLemma:101183,is,īs
eo,lilaLemma:101183,ire,īre
eo,lilaLemma:101183,ii,ĭī
eo,lilaLemma:101183,itum,ītum
eo,lilaLemma:101183,eam,ĕam
eo,lilaLemma:101183,i,ī
eo,lilaLemma:101183,ibo,ībo
eo,lilaLemma:101183,itum,ĭtum
eo,lilaLemma:101183,ire,īrĕ
eo,lilaLemma:101183,iri,īrī
eo,lilaLemma:101183,itur,ītur
ergo,lilaLemma:101415,ergo,ergō
et,lilaLemma:101542,et,ĕt
et2,lilaLemma:101541,et,ĕt
etiam,lilaLemma:101554,etiam,ĕtĭam
ex,lilaLemma:101716,e,ē
exercitus,lilaLemma:101960,exercitus,exercĭtŭs
exercitus,lilaLemma:101960,exercitus,exercĭtūs
facio,lilaLemma:102758,facio,făcĭō
facio,lilaLemma:102758,facio,făcĭō
facio,lilaLemma:102758,facis,făcis
facio,lilaLemma:102758,facere,făcĕre
facio,lilaLemma:102758,feci,fēcī
facio,lilaLemma:102758,feci,fēcī
facio,lilaLemma:102758,facis,făcis
fero,lilaLemma:103126,tuli,tŭlī
fero,lilaLemma:103126,fer,fĕr
fero,lilaLemma:103126,fero,fĕrō
fero,lilaLemma:103126,tuli,tŭlī
fero,lilaLemma:103126,latum,lātum
fides,lilaLemma:103260,fides,fĭdēs
fides,lilaLemma:103260,fides,fĭdēs
fides,lilaLemma:103260,fidei,fĭdĕī
filius,lilaLemma:103307,filius,fīlĭus
filius,lilaLemma:103307,filii,fī̄lĭī
fio,lilaLemma:103328,fio,fīō
fio,lilaLemma:103328,fis,fīs
fio,lilaLemma:103328,fieri,fĭĕrī
fortuna,lilaLemma:103696,fortuna,fortūna
fortuna,lilaLemma:103696,fortunae,fortūnae
genus,lilaLemma:104504,genus,gĕnŭs
genus,lilaLemma:104504,generis,gĕnĕris
gero,lilaLemma:104536,gero,gĕrō
gero,lilaLemma:104536,geris,gĕris
gero,lilaLemma:104536,gerere,gĕrĕre
gero,lilaLemma:104536,gessi,gessī
gero,lilaLemma:104536,gessi,gessī
grauis,lilaLemma:104903,gravis,grăvis
grauis,lilaLemma:104903,grave,grăve
habeo,lilaLemma:105044,habeo,hăbĕō
habeo,lilaLemma:105044,habes,hăbēs
habeo,lilaLemma:105044,habere,hăbēre
habeo,lilaLemma:105044,habui,hăbŭī
habeo,lilaLemma:105044,habitum,hăbĭtum
hic,lilaLemma:105455,hac,hāc
hic,lilaLemma:105455,hoc,hōc
hic,lilaLemma:105455,hice,hicĕ
hic,lilaLemma:105455,haece,haecĕ
hic,lilaLemma:105455,hoce,hōcĕ
hinc,lilaLemma:105454,huc,hūc
homo,lilaLemma:105624,homo,hŏmō
homo,lilaLemma:105624,hominis,hŏmĭnis
iam,lilaLemma:106025,jam,jăm
idem,lilaLemma:109082,eadem,ĕădem
idem,lilaLemma:109082,eadem,ĕădem
idem,lilaLemma:109082,idem,īdem
idem,lilaLemma:109082,eadem,ĕădem
idem,lilaLemma:109082,idem,ĭdem
igitur,lilaLemma:106127,igitur,ĭgĭtŭr
ille,lilaLemma:106221,illa,illă
ille,lilaLemma:106221,ille,illĕ
ille,lilaLemma:106221,illa,illă
ille,lilaLemma:106221,illud,illŭd
ille,lilaLemma:106221,illi,illī
ille,lilaLemma:106221,illi,illī
ille,lilaLemma:106221,illic,illĭc
imperium,lilaLemma:106532,imperium,impĕrĭum
imperium,lilaLemma:106532,imperii,impĕrĭī
in,lilaLemma:106748,in,ĭn
in,lilaLemma:106748,in,ĭn
in,lilaLemma:106748,in,ĭn
in,lilaLemma:106748,inque,inquĕ
inquam,lilaLemma:108033,inquam,inquăm
inquam,lilaLemma:108033,inquis,inquĭs
inter,lilaLemma:108392,inter,intĕr
ipse,lilaLemma:108945,ipse,ipsĕ
is,lilaLemma:109083,ea,ĕă
is,lilaLemma:109083,ea,ĕă
is,lilaLemma:109083,ei,ĕī
is,lilaLemma:109083,ei,ĕī
is,lilaLemma:109083,eam,ĕam
is,lilaLemma:109083,ejus,ējus
is,lilaLemma:109083,id,ĭd
is,lilaLemma:109083,is,ĭs
is,lilaLemma:109083,ea,ĕă
is,lilaLemma:109083,id,ĭd
iste,lilaLemma:109122,iste,istĕ
iste,lilaLemma:109122,ista,istă
iste,lilaLemma:109122,istud,istŭd
iste,lilaLemma:109122,isti c,istĭ c
ita,lilaLemma:109126,ita,ĭtă
ita,lilaLemma:109126,itane,ĭtănĕ
itaque,lilaLemma:109129,itaque,ĭtăquĕ
itaque,lilaLemma:109129,itaque,ĭtăquĕ
iubeo,lilaLemma:109152,jubeo,jŭbĕō
iubeo,lilaLemma:109152,jubes,jŭbēs
iubeo,lilaLemma:109152,jubere,jŭbēre
