lemma,prefix,fullEntry
et,Velez,<b>Et</b> <br> <small>Conjunct.</small>   <p> <b>1</b> &ensp; e </p>
et2,Velez,<b>Et</b>   <p> <b>1</b> &ensp; tambem </p>
etiam,Velez,"<b>Etiam</b> <br> <small>Conjunct.</small> <br> <small>1. 2. b.</small>   <p> <b>1</b> &ensp; <small>pro Quoque</small> &ensp; tambem </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>etiam, atque etiam &ensp; <small>muito, summamente, ou todo possivel</small> <br> etiamdum &ensp; <small>ainda, ou agora</small> &ensp; <small><small>pro Adhuc, vel nunc</small></small> </p>"
etiam,Velez,<b>Etiam</b> <br> <small>Adverb. respondendi affirmativè</small> <br> <small>1. 2. b.</small>
euolo,Velez,<b>Evolo</b> -<b>as</b>
ex,Velez,"<b>Ex</b> <br> <small>Praepos.</small> <br> <small>In compositione, si sequatur f, mutatur x in f, ut: Effero, quod in supino Elatum abjicitur: aliquandò sequens s extèritur: Exero, Exolvo, & c.</small>   <p> <b>1</b> &ensp; de, ou depois <br> <b>2</b> &ensp; <small>aliquando pro Propter</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>ex illo &ensp; <small>depois daquelle tempo</small> <br> ex quo &ensp; <small>depois que</small> <br> <br><b>2</b><br>ex amore; <br> ex metu <br> <br><b>X</b><br>ex aequo &ensp; <small><small>i, aequaliter</small></small> <br> ex aequo, & bono iudicare &ensp; <small>julgar com igualdade, brandura, e benignidade</small> <br> ex animi sententia res accidit &ensp; <small>succedeo como se desejava</small> <br> ex animo &ensp; <small><small>i, non ficté</small></small> <br> ex composito &ensp; <small>de cuidado, de proposito, de industria</small> <br> ex consuetudine &ensp; <small>segundo o costume</small> <br> ex dignitate &ensp; <small>como pede a dignidade</small> <br> ex fide &ensp; <small><small>i, fideliter</small></small> <br> ex inopinato &ensp; <small>sem se esperar, ou cuidar</small> &ensp; <small><small>i, ex insperato</small></small> </p>"
exactus,Velez,<b>Exactus</b> -<b>a</b> -<b>um</b> <br> <small>nomen</small>
expertus,Velez,<b>Expertus</b> -<b>a</b> -<b>um</b> <br> <small>Nomen</small>
extremus,Velez,<b>Extremus</b> -<b>a</b> -<b>um</b>
facio,Velez,"<b>Facio</b> -<b>is</b> <br> <small>ejus passivum est Fio: fit in compositis, quae non mutant a in i, ut: Calefacio, Calefio, & c.</small>   <p> <b>1</b> &ensp; fazer, estimar, dar, etc <br> <b>2</b> &ensp; <small>ponitur etiam pro Sacrificare</small> <br> <b>3</b> &ensp; <small>ponitur etiam Factum in responsione pro Ita</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>3</b><br>detraxit tibi uestem? Factum <br> <br><b>X</b><br>aegre alicui facere &ensp; <small>molestar</small> <br> alicui gradum facere &ensp; <small>promover</small> <br> argentariam facere &ensp; <small>exercitar o officio de bater moeda, ou de cambiador</small> <br> copiam, & potestatem facere &ensp; <small>permittir, conceder</small> <br> cum aliquo facere &ensp; <small>seguir, ou favorecer as partes, ou opiniaõ de alguem</small> <br> fac ita esse &ensp; <small>seja assim, ou dou-vos que assim seja</small> &ensp; <small><small>pormittentis, & concedentis est locutio</small></small> <br> facere ad aliquid &ensp; <small>ser de proveito, ou utilidade para alguma cousa</small> <br> facere iacturam, uel damnum &ensp; <small>padecer jactura, ou dano</small> <br> gratiam alicuius rei facere &ensp; <small>perdoar alguma cousa</small> <br> haud muto factum &ensp; <small>naõ me arrependo, naõ mudo de parecer</small> <br> iudex omnibus sui conueniendi potestatem, uel copiam facit &ensp; <small>deixa entrar todos para tratarem com elle seus negocios</small> <br> modum alicuius rei facere &ensp; <small>naõ ser nimio em alguma cousa</small> <br> ne longum faciam &ensp; <small><small>i, ut breviter dicam</small></small> <br> periculum facere &ensp; <small>experimentar, provar, tentar</small> <br> stipendia sub aliquo facere &ensp; <small>militar, ou ser soldado de alguem</small> <br> uela facere &ensp; <small>dar á vela</small> <br> uitium facere &ensp; <small><small>dicitur aedificium, cùm aliqua parte labefactatur</small></small> </p>"
facio,Velez,"<b>Faxim</b> <small>et c.</small> -<b>is</b> <br> <small>pro Faciam, facias, vel fécerim, féceris, & c. Faxo, pro fut. Indic. faciam.</small>"
feles,Velez,<b>Feles</b> -<b>is</b>
femur,Velez,<b>Femen</b> -<b>nis</b> <br> <small>cujus nominat. rarus est</small> <br> <small>sed aliquando confunduntur.</small>
feminalia,Velez,<b>Feminalia</b> -<b>ium</b>
