lemma,lila_id,source,entry_id,senseGroup,sense_prefix,sense_predef,sense_def,sense_posdef
effundo,lilaLemma:100687,Faria,Faria1994.n10764.e01,Faria1994.n10764.sg01,6,II-Sent. figurado:,"Dissipar, gastar",Cíc. Amer. 6.
effundo,lilaLemma:100687,Fonseca,Fonseca1798.n09802.e01,Fonseca1798.n09802.sg01,3,Cic.,"dissipar, gastar, mal.",
dimitto,lilaLemma:99509,Faria,Faria1994.n09844.e01,Faria1994.n09844.sg01,4,III-Empregos especiais:,"Dissolver uma assembléia, levantar ou suspender uma sessão",Cíc. Lác. 12; Cíc. Br. 200.
soluo,lilaLemma:125108,Fonseca,Fonseca1798.n28064.e01,Fonseca1798.n28064.sg01,7,Hor.,"dissolver, fazer derreter.",
beneficium,lilaLemma:91483,Faria,Faria1994.n03997.e01,Faria1994.n03997.sg01,2,I-Donde,"Distinção, favor, mercê",oficialmente falando Cíc. Mur. 2.
diuido,lilaLemma:99932,Faria,Faria1994.n10229.e01,Faria1994.n10229.sg01,4,II-Daí:,Distinguir,"Cíc. Leg. 1, 44."
cerno,lilaLemma:93546,Faria,Faria1994.n05479.e01,Faria1994.n05479.sg01,2,II-Sent. figurado,"Distinguir, discemir, ver claramente, perceber:",
classis,lilaLemma:94447,Fonseca,Fonseca1798.n05085.e01,Fonseca1798.n05085.sg01,4,Quinct.,"distribuição dos estudantes nas aulas, segundo o seu aproveitamento.",
diuido,lilaLemma:99932,Velez,Velez1744.n1098.e01,Velez1744.n1098.sg01,2,por,distribuir,aliquid alicui.
feliciter,lilaIpoLemma:16419,Cardoso,Cardoso1570.n08196.e01,Cardoso1570.n08196.sg01,1,,ditosamente,
diuido,lilaLemma:99932,Cardoso,Cardoso1570.n06220.e01,Cardoso1570.n06220.sg01,1,,diuidir,
diuersus,lilaIpoLemma:13031,Fonseca,Fonseca1798.n09274.e01,Fonseca1798.n09274.sg01,2,Hirt.,"diverso, contrario, opposto, differente.",
alius,lilaLemma:88481,Fonseca,Fonseca1798.n01288.e01,Fonseca1798.n01288.sg01,2,,"diverso, differente.",
diuitiae,lilaLemma:99899,Faria,Faria1994.n10249.e01,Faria1994.n10249.sg01,1,I-Sent. próprio,"Divícias, riquezas, bens",Cíc. Lae. 86.
aes,lilaLemma:87918,Faria,Faria1994.n01065.e01,Faria1994.n01065.sg01,5,III-Sent. figurado:,Dívida,"Cíc. Cat. 2, 4."
nomen,lilaLemma:113797,Fonseca,Fonseca1798.n19378.e01,Fonseca1798.n19378.sg01,5,,divida.,
diuido,lilaLemma:99932,Velez,Velez1744.n1098.e01,Velez1744.n1098.sg01,1,,"dividir, repartir",
diuido,lilaLemma:99932,Fonseca,Fonseca1798.n09281.e01,Fonseca1798.n09281.sg01,1,Cic.,dividir.,
spargo,lilaLemma:125240,Fonseca,Fonseca1798.n28176.e01,Fonseca1798.n28176.sg01,3,Liv.,dividir.,
fatum,lilaLemma:103575,Fonseca,Fonseca1798.n11604.e01,Fonseca1798.n11604.sg01,2,,divina.,
pater,lilaLemma:116203,Faria,Faria1994.n22464.e01,Faria1994.n22464.sg01,3,II-Donde:,"Divindade, deus","Verg. En. 8,454."
numen,lilaLemma:113968,Faria,Faria1994.n20787.e01,Faria1994.n20787.sg01,4,III-Donde:,"Divindade, deus, deusa","sent. concreto Verg. En. 3, 634."
caelestis,lilaLemma:92214,Faria,Faria1994.n04502.e01,Faria1994.n04502.sg01,2,II-Sent. figurado,"Divino, excelente, maravilhoso","Cíc. Phil. 5, 28."
