"lila_id","freq"
"http://lila-erc.eu/data/id/lemma/130763","5415"
"http://lila-erc.eu/data/id/lemma/97171","5410"
"http://lila-erc.eu/data/id/lemma/103739","5384"
"http://lila-erc.eu/data/id/lemma/108033","5378"
"http://lila-erc.eu/data/id/lemma/122458","5363"
"http://lila-erc.eu/data/id/lemma/121084","5340"
"http://lila-erc.eu/data/id/lemma/111418","5328"
"http://lila-erc.eu/data/id/hypolemma/39324","5320"
"http://lila-erc.eu/data/id/lemma/116369","5307"
"http://lila-erc.eu/data/id/lemma/131133","5303"
"http://lila-erc.eu/data/id/lemma/87415","5295"
"http://lila-erc.eu/data/id/lemma/130009","5259"
"http://lila-erc.eu/data/id/lemma/101183","5241"
"http://lila-erc.eu/data/id/lemma/103630","5220"
"http://lila-erc.eu/data/id/lemma/122390","5215"
"http://lila-erc.eu/data/id/lemma/92686","5213"
"http://lila-erc.eu/data/id/lemma/110178","5195"
"http://lila-erc.eu/data/id/lemma/100196","5194"
"http://lila-erc.eu/data/id/lemma/130980","5147"
"http://lila-erc.eu/data/id/lemma/124342","5125"
"http://lila-erc.eu/data/id/lemma/119246","5117"
"http://lila-erc.eu/data/id/lemma/125108","5110"
"http://lila-erc.eu/data/id/lemma/103683","5109"
"http://lila-erc.eu/data/id/lemma/100070","5097"
"http://lila-erc.eu/data/id/lemma/104536","5059"
"http://lila-erc.eu/data/id/lemma/124309","5025"
"http://lila-erc.eu/data/id/lemma/114172","5018"
"http://lila-erc.eu/data/id/lemma/156435","5008"
"http://lila-erc.eu/data/id/lemma/113900","5000"
"http://lila-erc.eu/data/id/lemma/120189","4981"
"http://lila-erc.eu/data/id/lemma/99944","4981"
"http://lila-erc.eu/data/id/lemma/121111","4916"
"http://lila-erc.eu/data/id/lemma/111688","4897"
"http://lila-erc.eu/data/id/lemma/124551","4892"
"http://lila-erc.eu/data/id/lemma/129732","4871"
"http://lila-erc.eu/data/id/lemma/118501","4863"
"http://lila-erc.eu/data/id/lemma/117404","4855"
"http://lila-erc.eu/data/id/lemma/129198","4852"
"http://lila-erc.eu/data/id/lemma/39175","4852"
"http://lila-erc.eu/data/id/lemma/112848","4844"
"http://lila-erc.eu/data/id/lemma/104869","4842"
"http://lila-erc.eu/data/id/lemma/119564","4793"
"http://lila-erc.eu/data/id/lemma/127182","4788"
"http://lila-erc.eu/data/id/lemma/112831","4783"
"http://lila-erc.eu/data/id/lemma/129151","4744"
"http://lila-erc.eu/data/id/lemma/24881","4737"
"http://lila-erc.eu/data/id/lemma/112890","4708"
"http://lila-erc.eu/data/id/lemma/124762","4675"
"http://lila-erc.eu/data/id/lemma/122494","4664"
"http://lila-erc.eu/data/id/lemma/121683","4661"
"http://lila-erc.eu/data/id/lemma/94739","4657"
"http://lila-erc.eu/data/id/lemma/130232","4650"
"http://lila-erc.eu/data/id/lemma/89581","4650"
"http://lila-erc.eu/data/id/lemma/125051","4627"
"http://lila-erc.eu/data/id/lemma/122740","4620"
"http://lila-erc.eu/data/id/lemma/124767","4620"
"http://lila-erc.eu/data/id/lemma/105374","4599"
"http://lila-erc.eu/data/id/lemma/115179","4586"
"http://lila-erc.eu/data/id/lemma/105647","4583"
"http://lila-erc.eu/data/id/lemma/123106","4569"
"http://lila-erc.eu/data/id/lemma/93581","4541"
"http://lila-erc.eu/data/id/lemma/110805","4538"
"http://lila-erc.eu/data/id/lemma/112038","4526"
"http://lila-erc.eu/data/id/lemma/99971","4523"
"http://lila-erc.eu/data/id/lemma/118263","4513"
"http://lila-erc.eu/data/id/lemma/130806","4505"
"http://lila-erc.eu/data/id/lemma/89998","4483"
"http://lila-erc.eu/data/id/lemma/111841","4480"
"http://lila-erc.eu/data/id/lemma/130872","4473"
"http://lila-erc.eu/data/id/lemma/118575","4463"
"http://lila-erc.eu/data/id/lemma/103261","4459"
"http://lila-erc.eu/data/id/lemma/127357","4444"
"http://lila-erc.eu/data/id/lemma/124888","4440"
"http://lila-erc.eu/data/id/lemma/65912","4411"
"http://lila-erc.eu/data/id/lemma/106532","4404"
"http://lila-erc.eu/data/id/lemma/126718","4386"
"http://lila-erc.eu/data/id/lemma/114585","4362"
"http://lila-erc.eu/data/id/lemma/114716","4344"
"http://lila-erc.eu/data/id/lemma/121320","4333"
"http://lila-erc.eu/data/id/lemma/127065","4325"
"http://lila-erc.eu/data/id/lemma/121355","4313"
"http://lila-erc.eu/data/id/lemma/113605","4309"
"http://lila-erc.eu/data/id/lemma/109592","4308"
"http://lila-erc.eu/data/id/lemma/115327","4292"
