"lemma","Caesar_Freq","Caesar_NormFreq","Cicero_Freq","Cicero_NormFreq","Horatius_Freq","Horatius_NormFreq","Ovidius_Freq","Ovidius_NormFreq","Phaedrus_Freq","Phaedrus_NormFreq","Sallustius_Freq","Sallustius_NormFreq","Seneca_Freq","Seneca_NormFreq","Suetonius_Freq","Suetonius_NormFreq","Tacitus_Freq","Tacitus_NormFreq","Vergilius_Freq","Vergilius_NormFreq","Hieronymus_Freq","Hieronymus_NormFreq","author_DP"
"leuiter",0,0,6,0.373775883979966,0,0,0,0,0,0,0,0,4,0.746533286052892,0,0,0,0,0,0,0,0,0.257845132083843
"leuo",0,0,16,0.996735690613242,0,0,0,0,0,0,0,0,6,1.11979992907934,0,0,0,0,2,3.86100386100386,0,0,0.239889632605523
"libellus",0,0,5,0.311479903316638,4,3.55208240831187,0,0,2,3.0362835888872,0,0,0,0,0,0,0,0,0,0,0,0,0.483587797445075
"libens",0,0,6,0.373775883979966,0,0,0,0,0,0,0,0,5,0.933166607566115,0,0,0,0,0,0,0,0,0.268816956949342
"liber2",0,0,48,2.99020707183973,2,1.77604120415594,1,1.71585449553878,3,4.5544253833308,1,0.927557740469344,9,1.67969989361901,1,11.0253583241455,0,0,0,0,0,0,0.217597082751282
"Libera",0,0,4,0.24918392265331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"liberalis",0,0,12,0.747551767959931,0,0,0,0,1,1.5181417944436,2,1.85511548093869,8,1.49306657210578,0,0,0,0,0,0,0,0,0.232329454027124
"liberatio",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"liberator",0,0,4,0.24918392265331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Libertas",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"libertinus",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,3,0.559899964539669,0,0,0,0,0,0,0,0,0.414271502403888
"libertinus2",0,0,2,0.124591961326655,3,2.6640618062339,0,0,0,0,0,0,0,0,1,11.0253583241455,0,0,0,0,0,0,0.624488574455818
"libertus",0,0,12,0.747551767959931,0,0,0,0,0,0,3,2.78267322140803,0,0,0,0,4,13.7315482320632,0,0,0,0,0.396105944379547
"libet",0,0,18,1.1213276519399,2,1.77604120415594,0,0,4,6.0725671777744,2,1.85511548093869,6,1.11979992907934,0,0,0,0,0,0,0,0,0.15860806749604
"libidinose",0,0,2,0.124591961326655,0,0,0,0,0,0,1,0.927557740469344,0,0,0,0,0,0,0,0,0,0,0.406203313101622
"libidinosus",0,0,8,0.498367845306621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"libido",0,0,62,3.86235080112631,4,3.55208240831187,0,0,0,0,17,15.7684815879789,6,1.11979992907934,0,0,4,13.7315482320632,0,0,0,0,0.292555668701467
"librariolus",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"librarium",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"librarius",0,0,3,0.186887941989983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"librarius2",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"licenter",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,1,3.43288705801579,0,0,0,0,0.489902631277925
"licentia",0,0,12,0.747551767959931,0,0,1,1.71585449553878,2,3.0362835888872,5,4.63778870234672,3,0.559899964539669,0,0,1,3.43288705801579,0,0,0,0,0.284498043266514
"liceo",0,0,4,0.24918392265331,1,0.888020602077968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404539483034133
"licinius",0,0,23,1.43280755525653,0,0,0,0,0,0,1,0.927557740469344,0,0,0,0,1,3.43288705801579,0,0,0,0,0.396105944379547
"Licinus",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,2,0.373266643026446,0,0,0,0,0,0,0,0,0.480938169070554
"lictor",0,0,6,0.373775883979966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"LId=lilaLemma:121348|Ref=Cic.Catil.1.1.1",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"LId=lilaLemma:90912|Ref=Cic.Phil.1.1.1",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"ligarius",0,0,29,1.8065834392365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"ligneus",0,0,1,0.0622959806633276,0,0,0,0,1,1.5181417944436,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.458105567706907
"lignum",0,0,2,0.124591961326655,4,3.55208240831187,3,5.14756348661633,1,1.5181417944436,0,0,0,0,0,0,0,0,0,0,0,0,0.7179315819211
"ligur",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lilybaetanus",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Lilybaeum",0,0,9,0.560663825969948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"limen",0,0,2,0.124591961326655,2,1.77604120415594,0,0,2,3.0362835888872,0,0,7,1.30643325059256,0,0,0,0,3,5.79150579150579,0,0,0.609449254916098
"lineamentum",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.314271502403888
"lineus",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"liquefacio",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"liqueo",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,5,0.933166607566115,0,0,0,0,1,1.93050193050193,0,0,0.653458860068425
"liquo",0,0,1,0.0622959806633276,1,0.888020602077968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460965853354177
"lis",0,0,6,0.373775883979966,3,2.6640618062339,0,0,1,1.5181417944436,0,0,2,0.373266643026446,0,0,0,0,0,0,0,0,0.271466585323863
"litigiosus",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"litigo",0,0,2,0.124591961326655,0,0,0,0,1,1.5181417944436,0,0,4,0.746533286052892,0,0,0,0,0,0,0,0,0.505724615325955
