"lemma","I a.C._Freq","I a.C._NormFreq","I d.C._Freq","I d.C._NormFreq","II d.C._Freq","II d.C._NormFreq","IV d.C._Freq","IV d.C._NormFreq","period_DP"
"ponticus",1,0.0465441005352572,1,0.152975370965275,0,0,0,0,0.273407142683827
"pontifex",18,0.837793809634629,0,0,1,2.61780104712042,0,0,0.242021414879494
"pontificatus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"pontificius",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"pontius",8,0.372352804282057,0,0,0,0,0,0,0.255262729166594
"pontus",7,0.3258087037468,14,2.14165519351384,0,0,0,0,0.440073809350494
"Pontus",9,0.418896904817314,0,0,0,0,0,0,0.255262729166594
"popa",2,0.0930882010705143,1,0.152975370965275,0,0,0,0,0.106740476017161
"popilius",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"popina",2,0.0930882010705143,4,0.611901483861098,0,0,0,0,0.440073809350494
"popularis",39,1.81521992087503,6,0.917852225791647,0,0,0,0,0.121929395833261
"popularis2",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"populeus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"populo",1,0.0465441005352572,1,0.152975370965275,0,0,0,0,0.273407142683827
"populor",7,0.3258087037468,2,0.305950741930549,0,0,0,0,0.0330405069443722
"populus",526,24.4821968815453,55,8.4136454030901,7,18.3246073298429,2,4.49337227589306,0.146788152895408
"porcius",9,0.418896904817314,0,0,0,0,0,0,0.255262729166594
"porcus",1,0.0465441005352572,0,0,0,0,4,8.98674455178612,0.784571442436679
"porrigo",8,0.372352804282057,8,1.2238029677222,0,0,0,0,0.273407142683827
"porro",19,0.884337910169886,7,1.07082759675692,0,0,0,0,0.0426379119145965
"porrus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"porta",28,1.3032348149872,2,0.305950741930549,0,0,0,0,0.188596062499928
"portatio",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"portendo",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"portentum",5,0.232720502676286,0,0,0,0,0,0,0.255262729166594
"porticus",8,0.372352804282057,1,0.152975370965275,0,0,0,0,0.144151618055483
"portio",1,0.0465441005352572,2,0.305950741930549,1,2.61780104712042,0,0,0.510165828396726
"porto",21,0.9774261112404,7,1.07082759675692,0,0,1,2.24668613794653,0.0338406540860236
"portorium",4,0.186176402141029,1,0.152975370965275,0,0,0,0,0.0552627291665945
"portus",40,1.86176402141029,8,1.2238029677222,0,0,0,0,0.0885960624999278
"posco",28,1.3032348149872,15,2.29463056447912,0,0,0,0,0.122244351986153
"Posidonius",1,0.0465441005352572,2,0.305950741930549,0,0,0,0,0.440073809350494
"positus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"possessio",30,1.39632301605771,6,0.917852225791647,0,0,0,0,0.0885960624999278
"possessor",1,0.0465441005352572,1,0.152975370965275,2,5.23560209424084,0,0,0.510165828396726
"possideo",14,0.6516174074936,8,1.2238029677222,0,0,0,0,0.137043506320191
"possido",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"possum",1370,63.7654177333023,373,57.0598133700474,10,26.1780104712042,22,49.4270950348236,0.0270937150820874
"post",98,4.5613218524552,33,5.04818724185406,7,18.3246073298429,3,6.74005841383959,0.0497018098404978
"post2",62,2.88573423318594,1,0.152975370965275,2,5.23560209424084,0,0,0.226636799494878
"postea",82,3.81661624389109,5,0.764876854826373,2,5.23560209424084,0,0,0.185841639598595
"posteaquam",26,1.21014661391669,0,0,0,0,0,0,0.255262729166594
"posteri",11,0.511985105887829,6,0.917852225791647,1,2.61780104712042,0,0,0.149054717285615
"posteritas",14,0.6516174074936,0,0,1,2.61780104712042,0,0,0.242021414879494
"posterius",30,1.39632301605771,0,0,1,2.61780104712042,0,0,0.242021414879494
"posterus",27,1.25669071445194,1,0.152975370965275,3,7.85340314136126,0,0,0.209763350363365
"posthabeo",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"posthac",21,0.9774261112404,1,0.152975370965275,0,0,0,0,0.209808183712049
"postis",2,0.0930882010705143,2,0.305950741930549,0,0,0,0,0.273407142683827
"postmodum",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"postpono",1,0.0465441005352572,0,0,1,2.61780104712042,0,0,0.486758685712899
