lemma,collocate,pos,LogL,LR,MI,LogDice,allMethods,score,scoreADJ,scoreSUBST,scoreADV,scoreVERB,scoreFUNC
ad,res,substantivo,13.5,0.8,1,10.2,25.5,20,0,20,0,0,0
ad,ille,determinante,7.8,0.6,0.9,10.2,19.5,20,0,0,0,0,0
ad,senatus,substantivo,46.5,2.2,2,10.1,60.8,30,0,30,0,0,0
ad,Caesar,nome próprio,36,2.1,1.9,10,50,20,0,0,0,0,0
ad,uenio,verbo,28.6,1.8,1.7,10,42.1,20,0,0,0,20,0
ad,bellum,substantivo,19.3,1.6,1.6,9.8,32.3,20,0,20,0,0,0
ad,iste,determinante,10,1.1,1.2,9.7,22,20,0,0,0,0,0
ad,nos,pronome,8.9,1,1.2,9.7,20.8,20,0,0,0,0,0
ad,legatus,substantivo,33.6,2.7,2.3,9.6,48.2,20,0,20,0,0,0
ad,salus,substantivo,27,2.4,2.1,9.6,41.1,20,0,20,0,0,0
ad,mors,substantivo,17.3,1.9,1.8,9.5,30.5,20,0,20,0,0,0
ad,tempus,substantivo,9.2,1.3,1.3,9.5,21.3,20,0,20,0,0,0
ad,mitto,verbo,11.6,1.6,1.5,9.4,24.1,20,0,0,0,20,0
ad,redeo,verbo,27.5,3,2.5,9.3,42.3,20,0,0,0,20,0
ad,urbs,substantivo,8.9,1.4,1.4,9.3,21,20,0,20,0,0,0
ad,superus,,7.5,1.3,1.3,9.3,19.4,20,0,0,0,0,0
ad,castra,substantivo,12.6,1.9,1.8,9.2,25.5,20,0,20,0,0,0
ad,iudicium,substantivo,9,1.6,1.5,9.2,21.3,20,0,20,0,0,0
ad,pertineo,verbo,20.3,2.9,2.4,9,34.6,20,0,0,0,20,0
ad,pes,substantivo,20.1,2.9,2.4,9,34.4,20,0,20,0,0,0
addo,etiam,advérbio,24.9,4.4,3.4,9.5,42.2,20,0,0,20,0,0
adduco,discrimen,substantivo,49.3,8.7,6.4,11.6,76,30,0,30,0,0,0
adduco,spes,substantivo,18.9,4.8,3.9,10.2,37.8,20,0,20,0,0,0
adduco,iubeo,verbo,13.7,4.7,3.9,10.1,32.4,20,0,0,0,20,0
adduco,Caesar,nome próprio,9.1,3.5,3,9.5,25.1,20,0,0,0,0,0
adduco,ut,conj.subord.,23,2.7,2.5,9.1,37.3,20,0,0,0,0,20
adduco,possum,verbo,8,2.3,2.2,8.8,21.3,20,0,0,0,20,0
adduco,sui,pronome,8,2.3,2.2,8.8,21.3,20,0,0,0,0,0
adeo,ne,conj.subord.,10.2,3.8,3.2,8.7,25.9,20,0,0,0,0,20
adeo,atque,conj.coord.,10.8,3.2,2.8,8.3,25.1,20,0,0,0,0,0
adeo,in,preposição,5.2,2,2,7.5,16.7,10,0,0,0,0,10
adeo2,aut,conj.coord.,7.6,3.1,2.8,8.7,22.2,20,0,0,0,0,0
adhibeo,diligentia,substantivo,48.6,8.5,6.4,11.7,75.2,30,0,30,0,0,0
adhibeo,uis,substantivo,16.4,5.3,4.3,10,36,20,0,20,0,0,0
adhuc,nemo,pronome,17,4.5,3.7,10.1,35.3,20,0,0,0,0,0
adhuc,nihil,pronome,9.5,3,2.7,9.3,24.5,20,0,0,0,0,0
adhuc,facio,verbo,6,2.2,2.2,8.8,19.2,20,0,0,0,20,0
adsum,dum,advérbio,12.7,4.4,3.6,10,30.7,20,0,0,20,0,0
adsum,non,advérbio,10.5,1.8,1.8,8.7,22.8,20,0,0,20,0,0
adsum,cum,conj.subord.,6.9,1.7,1.7,8.6,18.9,20,0,0,0,0,20
adsum,qui,pronome,5.4,1.1,1.3,8.2,16,10,0,0,0,0,0
aduersus,hic,determinante,5.7,2.1,1.9,7.8,17.5,10,0,0,0,0,0
aduersus2,res,substantivo,5.3,2.4,2.3,8.1,18.1,10,0,10,0,0,0
aedes,sacer,adjetivo,66.4,9.6,7.1,12.2,95.3,30,30,0,0,0,0
aedes,in,preposição,26.8,3,2.7,8.5,41,20,0,0,0,0,20
aedes,ad,preposição,8.1,2.7,2.5,8.2,21.5,20,0,0,0,0,20
aeger,animus,substantivo,21,5.2,4.2,9.5,39.9,20,0,20,0,0,0
aeger,et,conj.coord.,7.7,2.3,2.2,7.5,19.7,20,0,0,0,0,0
aeque,atque,conj.coord.,7.3,3,2.6,8,20.9,20,0,0,0,0,0
aeque,non,advérbio,7.9,2.6,2.4,7.8,20.7,20,0,0,20,0,0
aequor,uentus,substantivo,27.9,8.2,6.3,11.3,53.7,20,0,20,0,0,0
aequus,animus,substantivo,176.4,6.3,5,11.3,199,40,0,40,0,0,0
aequus,locus,substantivo,14.3,3.9,3.4,9.6,31.2,20,0,20,0,0,0
aequus,sum,verbo,11.3,1.5,1.7,8.1,22.6,20,0,0,0,20,0
aes,alienus,adjetivo,323.6,9.4,6.9,12.8,352.7,50,50,0,0,0,0
aes,incido2,verbo,31.3,9.1,6.8,11.5,58.7,30,0,0,0,30,0
aes,ex,preposição,13.6,3.3,2.9,9,28.8,20,0,0,0,0,20
aetas,ineo,verbo,45.5,7,5.3,11,68.8,30,0,0,0,30,0
aetas,ludus,substantivo,18.1,5.8,4.6,10.3,38.8,20,0,20,0,0,0
aetas,uel,conj.coord.,17.4,3.9,3.2,10.1,34.6,20,0,0,0,0,0
aetas,ago,verbo,20.7,3.4,3,10.1,37.2,20,0,0,0,20,0
aetas,iam,advérbio,17,3,2.7,9.8,32.5,20,0,0,20,0,0
aetas,tempus,substantivo,12.4,3.1,2.7,9.8,28,20,0,20,0,0,0
aetas,primus,adjetivo,9,3.5,3,9.8,25.3,20,20,0,0,0,0
aetas,per,preposição,10.5,2.8,2.5,9.6,25.4,20,0,0,0,0,20
aetas,neque,conj.coord.,6.1,2.2,2.1,9.3,19.7,20,0,0,0,0,0
aetas,omnis,determinante,12.6,2,2,9.3,25.9,20,0,0,0,0,0
aetas,animus,substantivo,5.8,2.2,2.1,9.3,19.4,20,0,20,0,0,0
aetas,ille,determinante,12.9,1.8,1.8,9.2,25.7,20,0,0,0,0,0
aeuum,in,preposição,9.5,3,2.7,7.5,22.7,20,0,0,0,0,20
affero,rumor,substantivo,20.8,6.5,4.9,10.4,42.6,20,0,20,0,0,0
affero,nuntius,substantivo,19.5,6.2,4.7,10.4,40.8,20,0,20,0,0,0
affero,littera,substantivo,25.3,4.4,3.6,10.4,43.7,20,0,20,0,0,0
affero,lux,substantivo,16.1,5.3,4.2,10.3,35.9,20,0,20,0,0,0
affero,uis,substantivo,13.1,3.7,3.1,9.9,29.8,20,0,20,0,0,0
affero,manus,substantivo,7.6,3.1,2.7,9.6,23,20,0,20,0,0,0
affero,aliquis,pronome,8.6,2.8,2.5,9.5,23.4,20,0,0,0,0,0
affero,romanus,adjetivo,5.2,2.4,2.2,9.2,19,20,20,0,0,0,0
afficio,praemium,substantivo,25,7.5,5.7,11.1,49.3,20,0,20,0,0,0
afficio,dolor,substantivo,28.9,6.7,5.2,10.8,51.6,20,0,20,0,0,0
ager,uasto,verbo,35.4,8,6,11,60.4,30,0,0,0,30,0
ager,uaco,verbo,22.6,6.9,5.3,10.7,45.5,20,0,0,0,20,0
ager,diues,adjetivo,20,6.3,4.9,10.6,41.8,20,20,0,0,0,0
ager,colo,verbo,17.4,5.6,4.5,10.4,37.9,20,0,0,0,20,0
ager,germani,substantivo,16.9,5.5,4.4,10.4,37.2,20,0,20,0,0,0
ager,ex,preposição,41.8,3.5,3,10,58.3,30,0,0,0,0,30
ager,per,preposição,8.9,2.9,2.6,9.5,23.9,20,0,0,0,0,20
ager,in,preposição,53.2,2.5,2.4,9.4,67.5,30,0,0,0,0,30
agito,mens,substantivo,20.1,6.3,4.9,10.5,41.8,20,0,20,0,0,0
agito,multus,determinante,9.9,3.7,3.2,8.9,25.7,20,0,0,0,0,0
agmen,nouus,adjetivo,47.4,7.1,5.6,10.9,71,30,30,0,0,0,0
agmen,noster,determinante,13.1,4.5,3.8,9.2,30.6,20,0,0,0,0,0
ago,gratia,substantivo,152.6,5.9,4.5,11.4,174.4,40,0,40,0,0,0
ago,quis,pronome,115.7,2.8,2.5,10.7,131.7,40,0,0,0,0,0
ago,nihil,pronome,41,2.9,2.5,10.4,56.8,30,0,0,0,0,0
ago,aetas,substantivo,26.4,3.7,3.1,10.2,43.4,20,0,20,0,0,0
ago,sic,advérbio,17.4,2.8,2.5,10,32.7,20,0,0,20,0,0
ago,ubi,advérbio,16.7,3,2.6,9.9,32.2,20,0,0,20,0,0
ago,ut,conj.subord.,26,1.7,1.7,9.9,39.3,20,0,0,0,0,20
