"lemma","Prosa histórica_Freq","Prosa histórica_NormFreq","Prosa filosófica_Freq","Prosa filosófica_NormFreq","Prosa oratória_Freq","Prosa oratória_NormFreq","Prosa epistolográfica_Freq","Prosa epistolográfica_NormFreq","Poesia lírica_Freq","Poesia lírica_NormFreq","Poesia didática_Freq","Poesia didática_NormFreq","Poesia trágica_Freq","Poesia trágica_NormFreq","Poesia épica_Freq","Poesia épica_NormFreq","Prosa ficcional_Freq","Prosa ficcional_NormFreq","genre_DP"
"pompa",0,0,2,0.329483863527784,1,0.0960125968527071,0,0,0,0,1,0.848248367121893,1,0.868658790826963,0,0,0,0,0.508822805564125
"pomponius",0,0,1,0.164741931763892,0,0,10,2.64977874347492,1,0.84125515268781,0,0,0,0,0,0,0,0,0.744647435564137
"pomum",0,0,3,0.494225795291676,0,0,0,0,1,0.84125515268781,0,0,1,0.868658790826963,0,0,0,0,0.708483106925346
"ponticus",0,0,1,0.164741931763892,0,0,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.74838729804396
"pontificius",0,0,2,0.329483863527784,1,0.0960125968527071,0,0,0,0,0,0,0,0,0,0,0,0,0.456258023069466
"pontius",0,0,2,0.329483863527784,1,0.0960125968527071,5,1.32488937173746,0,0,0,0,0,0,0,0,0,0,0.533776183659109
"popina",0,0,4,0.658967727055567,2,0.192025193705414,0,0,0,0,0,0,0,0,0,0,0,0,0.456258023069466
"popularis",0,0,7,1.15319352234724,28,2.6883527118758,8,2.11982299477994,0,0,1,0.848248367121893,1,0.868658790826963,0,0,0,0,0.308157966799658
"porcus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,4,8.98674455178612,0.784571442436679
"Porsena",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"porticus",0,0,1,0.164741931763892,2,0.192025193705414,5,1.32488937173746,1,0.84125515268781,0,0,0,0,0,0,0,0,0.494647435564137
"Posidonius",0,0,2,0.329483863527784,0,0,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.658776183659109
"positio",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"postfero",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"posthac",0,0,1,0.164741931763892,10,0.960125968527071,9,2.38480086912743,1,0.84125515268781,0,0,1,0.868658790826963,0,0,0,0,0.381595171867659
"postulaticius",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"postulatio",0,0,1,0.164741931763892,2,0.192025193705414,2,0.529955748694984,0,0,0,0,0,0,0,0,0,0,0.308157966799658
"postumius",0,0,1,0.164741931763892,0,0,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.658776183659109
"potio",0,0,10,1.64741931763892,2,0.192025193705414,0,0,0,0,0,0,0,0,0,0,0,0,0.622924689736133
"potissime",0,0,1,0.164741931763892,0,0,4,1.05991149738997,0,0,0,0,0,0,0,0,0,0,0.66918482725631
"praeceptio",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praeceptor",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praecido",0,0,2,0.329483863527784,1,0.0960125968527071,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.408776183659109
"praecingo",0,0,1,0.164741931763892,0,0,0,0,1,0.84125515268781,1,0.848248367121893,1,0.868658790826963,0,0,0,0,0.667618747205285
"praeclare",0,0,3,0.494225795291676,12,1.15215116223248,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.388973139543348
