lemma,collocate,pos,LogL,LR,MI,LogDice
alter,imperator,substantivo,10.8,4,3.1,9.7
alter,unus,determinante,9.9,2.6,2.2,9.5
alter,ex,preposição,11.1,2.1,1.8,9.4
alter,uita,substantivo,5.1,2.4,2,9.2
alter,in,preposição,10.8,1.3,1.2,8.9
alter,qui,pronome,6.5,0.9,1,8.7
amicitia,uerus,adjetivo,29.8,5,4,10.5
amicitia,uetus,adjetivo,26.7,5.3,4.1,10.4
amicitia,sic,advérbio,22,3.6,3,10.2
amicitia,confirmo,verbo,13.6,4.7,3.7,10
amicitia,propter,preposição,12.7,3.6,3,9.9
amicitia,noster,determinante,17.9,2.9,2.5,9.9
amicitia,de,preposição,23.6,2.5,2.3,9.8
amicitia,uis,substantivo,10.2,3.1,2.7,9.8
amicitia,in,preposição,43.9,2,1.9,9.6
amicitia,pro,preposição,5.3,2.4,2.2,9.4
amicitia,populus,substantivo,5.7,2.1,2,9.3
amicitia,nec,conj.coord.,5,2,1.9,9.3
amicus,noster,determinante,26.9,3,2.7,10.2
amicus,tuus,determinante,23.2,2.8,2.5,10
amicus,sine,preposição,15.7,3.2,2.8,10
amicus,ab,preposição,36.8,2.4,2.3,10
amicus,paro,verbo,14.3,3.9,3.3,10
amicus,meus,determinante,16.4,2.5,2.3,9.8
amicus,quisquam,pronome,10.4,3.2,2.8,9.8
amicus,uel,conj.coord.,9.3,2.9,2.6,9.7
amicus,talis,determinante,9.2,3.5,3,9.7
amicus,atque,conj.coord.,20.6,1.9,1.9,9.6
amicus,pro,preposição,7.6,2.6,2.3,9.6
amicus,habeo,verbo,9.6,1.9,1.9,9.5
amicus,per,preposição,7.2,2.2,2.1,9.5
amicus,periculum,substantivo,5.8,2.6,2.4,9.4
amicus,fero,verbo,5.5,2.1,2,9.4
amicus2,que,conj.coord.,5.1,2,2.1,7.9
amitto,reliquus,determinante,13.9,4.7,3.8,10.1
amitto,uita,substantivo,9.5,3.6,3,9.5
amitto,neque,conj.coord.,6.9,2.9,2.6,9.1
amo,ualde,advérbio,20.1,6.3,4.7,10.6
amo,tantum,advérbio,14.5,4.9,3.8,10.2
amo,nos,pronome,13.8,3.3,2.7,9.5
amo,ego,pronome,39,3,2.5,9.4
amo,tu,pronome,22.8,2.7,2.3,9.2
amo,ipse,determinante,6,2.2,2,8.8
amo,et,conj.coord.,6.7,1.3,1.3,8.3
amor,caecus,adjetivo,23.1,7,5.4,10.8
amor,noster,determinante,9.3,2.9,2.6,9.4
amor,tuus,determinante,8,2.7,2.4,9.2
amor,et,conj.coord.,7.2,1.3,1.5,8.3
amplus,honor,substantivo,36.1,5.8,4.6,10.9
amplus,uir,substantivo,56.1,5.1,4.2,10.7
amplus,ordo,substantivo,14.8,5,4.1,10.3
amplus,uerbum,substantivo,13.4,4.6,3.8,10.1
amplus,nihil,pronome,13.7,3.3,2.9,9.5
amplus,qua,advérbio,13,2.8,2.6,9.2
amplus,homo,substantivo,8.6,2.8,2.6,9.2
an,uersus,substantivo,83.3,6.1,4.4,11.2
an,quia,conj.subord.,14.4,4,3,9.9
an,iniuria,substantivo,12.9,4.5,3.4,9.8
an,ne,conj.subord.,10.2,2.2,1.8,9.3
an,uos,pronome,7,2.4,2,9.3
an,ille,determinante,8.1,1.5,1.3,9
an,tu,pronome,7,1.5,1.3,9
animal,mutus,adjetivo,154.9,11.2,7.8,12.8
animal,constitutio,substantivo,30.5,8.9,6.6,11.5
animal,nullus,determinante,10.6,3.9,3.3,9.3
animal,omnis,determinante,11.3,2.9,2.6,8.7
animus,aequus,adjetivo,167.8,6.8,4.9,11.2
animus,magnitudo,substantivo,93.1,5.8,4.4,10.8
animus,impetus,substantivo,35.6,4.3,3.5,10.2
animus,tuus,determinante,20.6,2,2,10.1
animus,magnus,adjetivo,13.7,1.6,1.7,9.9
animus,robur,substantivo,37.7,6.2,4.6,9.9
animus,tandem,advérbio,23.5,4.3,3.5,9.8
animus,in,preposição,15.4,0.9,1.3,9.8
animus,atque,conj.coord.,10.5,1.1,1.4,9.8
animus,fero,verbo,11.4,2,2,9.8
animus,uirtus,substantivo,11.2,2.1,2.1,9.8
animus,uis,substantivo,11.7,2.4,2.3,9.7
animus,et,conj.coord.,9.8,0.7,1.1,9.7
animus,motus,substantivo,21.9,4.6,3.7,9.7
animus,sum,verbo,10.4,0.6,1,9.7
animus,bonus,adjetivo,7.6,1.7,1.8,9.6
